"Facebook Core","Facebook Core"
"Application Settings","Application Settings"
"Application ID","Application ID"
"Application Secret","Application Secret"
"Admin","Admin"
"A comma-separated list of either the Facebook IDs of page administrators.","A comma-separated list of either the Facebook IDs of page administrators."
